team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
Tarleton State,253.4,279,166,299,5,50.8,71.2,50.8
Cornell,283.8,280,253,343,5,38.4,79.8,38.4
Bradley,243.8,281,79,337,5,106.6,67.9,106.6
Incarnate Word,266.4,282,218,312,5,45.4,74.9,45.4
UMKC,241.6,283,136,311,5,67.7,67.6,67.7
Alabama A&M,254.0,284,196,303,5,45.8,71.1,45.8
Robert Morris,271.0,285,219,331,5,41.9,75.9,41.9
Arkansas-Pine Bluff,282.4,286,196,351,5,60.3,79.3,60.3
UNCG,242.4,287,143,297,5,65.9,68.1,65.9
Binghamton,269.2,288,230,289,5,23.8,75.5,23.8
Marist,252.8,289,110,325,5,84.1,70.5,84.1
Saint Francis (NY),286.0,290,245,332,3,43.7,80.8,43.7
Weber State,273.8,291,230,311,5,39.1,76.9,39.1
Gardner-Webb,268.6,292,137,349,5,82.2,75.4,82.2
Central Michigan,234.4,293,90,317,5,92.9,65.3,92.9
San Jose State,269.8,294,192,323,5,48.4,75.5,48.4
NJIT,291.8,295,278,309,5,15.0,81.8,15.0
Houston Baptist,285.5,296,276,295,2,13.4,81.7,13.4
West Georgia,286.0,297,286,286,1,,78.9,
Iona,262.2,298,149,310,5,66.4,73.6,66.4
Cal State Bakersfield,287.6,299,224,347,5,44.3,80.5,44.3
Bellarmine,293.8,300,231,336,5,41.8,82.6,41.8
IU Indianapolis,288.0,301,288,288,1,,79.5,
Saint Bonaventure,288.4,302,244,336,5,43.8,80.7,43.8
North Florida,282.8,303,208,341,5,60.8,79.1,60.8
American,263.8,304,184,356,5,75.6,73.7,75.6
Seattle University,300.2,305,276,344,5,27.6,84.1,27.6
Navy,279.6,306,193,355,5,61.6,78.4,61.6
UMBC,300.2,307,276,343,5,26.0,84.2,26.0
Hofstra,279.0,308,228,304,5,31.3,78.1,31.3
Tennessee State,306.2,309,277,340,5,24.3,86.0,24.3
Nicholls,291.6,310,202,353,5,62.6,81.9,62.6
Alabama State,292.8,311,166,355,5,77.0,81.8,77.0
Loyola-Maryland,297.0,312,267,315,5,19.9,83.3,19.9
Wright State,236.6,313,77,304,5,99.8,65.9,99.8
Saint Peter's,307.2,314,261,357,5,42.8,86.1,42.8
Utah State,303.6,315,246,344,5,40.6,85.1,40.6
Radford,305.8,316,289,340,5,20.2,85.8,20.2
Detroit,294.8,317,238,335,5,42.2,82.7,42.2
Southeast Missouri,277.6,318,157,330,5,72.2,77.5,72.2
Wagner,303.2,319,246,359,5,54.8,84.9,54.8
East Texas A&M,306.0,320,306,306,1,,84.5,
Maryland Eastern Shore,285.2,321,227,343,5,51.7,80.2,51.7
Evansville,304.2,322,275,342,5,26.0,85.4,26.0
Merrimack,298.8,323,265,324,5,28.0,83.8,28.0
South Alabama,307.4,324,264,338,5,27.1,86.1,27.1
Presbyterian College,306.6,325,253,352,5,35.9,85.9,35.9
North Carolina Central,318.6,326,297,340,5,19.7,89.3,19.7
Alcorn State,318.6,327,305,353,5,19.5,89.4,19.5
Texas Southern,313.0,328,279,340,5,26.9,87.8,26.9
Lafayette,283.4,329,184,327,5,59.4,79.2,59.4
Le Moyne,313.0,330,269,357,2,62.2,86.6,62.2
New Hampshire,316.4,331,298,343,5,17.6,88.8,17.6
Bryant,302.6,332,256,334,5,33.7,85.0,33.7
Morehead State,301.8,333,240,350,5,45.6,84.6,45.6
New Orleans,312.8,334,277,341,5,27.7,87.9,27.7
Portland State,297.8,335,246,342,5,43.0,83.5,43.0
Northwestern State,294.2,336,209,343,5,53.6,82.7,53.6
UNCW,312.8,337,279,353,5,32.8,87.7,32.8
Bethune-Cookman,307.8,338,248,343,5,38.2,86.5,38.2
Hampton,306.8,339,256,339,5,31.7,86.1,31.7
Dixie State,320.0,340,311,329,2,12.7,91.6,12.7
UMass-Lowell,297.0,341,198,346,5,59.7,83.0,59.7
SIUE,307.0,342,255,328,5,30.2,86.1,30.2
Rider,314.2,343,290,333,5,21.1,88.1,21.1
South Carolina Upstate,311.2,344,223,349,5,51.7,87.3,51.7
Lindenwood,282.0,345,168,354,3,99.9,78.1,99.9
McNeese,324.0,346,303,352,5,19.7,90.9,19.7
Prairie View A&M,322.0,347,290,343,5,21.0,90.3,21.0
Canisius,312.8,348,251,338,5,35.4,87.8,35.4
ULM,270.0,349,137,347,5,95.2,76.0,95.2
