Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
97,Eastern Washington,Big Sky,,29,6,68.3,56.1,12.20,,-3.31,,1.61,5.78,7.39,94.35,83.67,10.69
98,Tulsa,AAC,,25,10,70.9,66.9,3.94,,3.44,,6.80,0.58,7.38,96.94,87.56,9.38
99,Portland,WCC,,21,13,67.9,62.4,5.50,,3.77,,2.82,4.29,7.11,91.90,82.51,9.39
100,Harvard,Ivy,,16,12,68.9,63.4,5.46,,1.60,,4.59,2.48,7.07,98.89,89.40,9.48
101,Wisconsin,Big Ten,,15,17,62.7,67.9,-5.16,,12.11,,0.24,6.71,6.95,92.43,83.94,8.49
102,South Florida,AAC,,19,14,64.2,60.2,4.00,,2.93,,-0.56,7.49,6.93,96.12,87.18,8.94
103,Northern Iowa,MVC,,16,16,73.4,70.5,2.94,,3.79,,7.15,-0.42,6.73,101.46,92.13,9.34
104,East Carolina,AAC,,19,14,65.6,62.8,2.82,,3.69,,2.59,3.91,6.51,91.87,84.76,7.11
105,Grand Canyon,WAC,,24,8,69.5,56.2,13.28,,-5.01,,-1.19,7.50,6.31,93.76,83.90,9.86
106,Wake Forest,ACC,,7,25,59.5,67.6,-8.06,,14.11,,-0.12,6.17,6.05,95.55,88.41,7.14
107,Troy,Sun Belt,,22,12,80.9,75.0,5.82,,0.21,,16.07,-10.03,6.03,99.50,92.45,7.05
108,Murray State,MVC,,20,12,84.5,75.2,9.28,,-2.00,,16.28,-10.58,5.71,102.77,95.74,7.03
109,Montana,Big Sky,,23,10,72.5,63.8,8.64,,-1.64,,6.51,-0.83,5.68,102.67,94.59,8.09
110,Missouri State,MVC,,23,10,69.3,63.6,5.67,,-0.14,,1.76,3.77,5.52,96.66,88.73,7.92
111,Colorado State,MWC,,20,11,68.6,61.2,7.39,,-1.03,,2.22,3.18,5.40,96.52,88.91,7.61
112,Wyoming,MWC,,18,15,63.8,59.8,3.97,,2.56,,-0.79,6.00,5.22,97.81,90.21,7.60
113,Fairfield,MAAC,,31,2,72.5,55.2,17.30,,-10.10,,2.88,2.14,5.03,95.60,89.09,6.51
114,James Madison,Sun Belt,,23,12,72.3,66.5,5.77,,1.20,,5.26,-0.27,4.99,94.80,88.42,6.37
115,North Dakota State,Summit,,22,12,75.4,68.5,6.97,,-0.04,,6.09,-1.09,4.99,99.82,93.33,6.50
116,Jackson State,SWAC,,26,7,71.4,57.5,13.88,,-4.55,,1.85,2.91,4.76,94.67,87.44,7.23
117,Butler,Big East,,15,17,62.5,62.0,0.50,,5.95,,-0.47,5.19,4.72,97.34,91.77,5.56
118,Southern Methodist,AAC,,14,16,69.8,68.3,1.50,,3.10,,5.92,-1.33,4.60,97.23,91.27,5.96
119,Providence,Big East,,13,21,58.0,61.5,-3.56,,7.99,,-2.56,7.00,4.43,89.87,84.10,5.77
120,Memphis,AAC,,13,17,67.6,69.3,-1.70,,6.08,,4.48,-0.10,4.38,90.92,85.18,5.75
121,Kentucky,SEC,,12,20,64.4,74.4,-10.00,,14.28,,5.38,-1.10,4.28,95.35,89.82,5.54
122,Kent State,MAC,,21,11,71.8,62.8,9.00,,-0.65,,4.88,-0.66,4.22,97.95,91.91,6.04
123,Illinois State,MVC,,22,12,74.3,68.6,5.68,,-0.90,,5.42,-1.61,3.80,98.29,93.61,4.68
124,Charlotte,AAC,,16,15,64.5,63.0,1.52,,2.13,,0.48,3.17,3.65,89.70,85.20,4.50
125,California Baptist,WAC,,28,4,80.3,71.3,9.00,,-5.67,,11.54,-8.22,3.33,95.88,92.45,3.43
126,Rutgers,Big Ten,,8,24,65.8,73.0,-7.16,,10.42,,4.49,-1.22,3.27,96.11,92.99,3.12
127,UTSA,AAC,,18,15,64.6,63.5,1.15,,1.97,,-0.17,3.29,3.12,91.46,87.21,4.25
128,Maine,AEC,,24,10,64.1,57.0,7.06,,-3.98,,-1.40,4.48,3.08,95.12,90.62,4.50
129,UC Irvine,Big West,,23,9,63.0,55.7,7.31,,-4.46,,-3.33,6.18,2.85,91.14,86.79,4.35
130,Chattanooga,Southern,,28,5,64.2,54.5,9.76,,-5.36,,-5.00,7.80,2.80,95.64,90.08,5.56
131,Duquesne,A-10,,21,13,69.0,67.0,2.03,,0.62,,5.29,-2.64,2.65,97.36,94.02,3.34
132,Northern Arizona,Big Sky,,25,10,75.3,70.1,5.26,,-1.32,,10.49,-7.99,2.50,98.55,95.46,3.09
133,Old Dominion,Sun Belt,,22,10,64.0,60.3,3.72,,-0.73,,-3.83,6.22,2.40,85.06,82.11,2.95
134,Pittsburgh,ACC,,8,24,60.8,69.1,-8.31,,10.55,,-0.18,2.41,2.24,91.76,89.90,1.87
135,Pacific,WCC,,19,15,71.3,69.9,1.44,,2.56,,6.24,-4.11,2.13,93.46,90.48,2.98
136,Saint Louis,A-10,,22,18,72.1,70.0,2.05,,3.14,,7.36,-5.30,2.06,97.74,94.68,3.06
137,Liberty,CUSA,,18,16,65.7,66.7,-0.97,,4.12,,2.48,-0.71,1.78,98.81,96.27,2.54
138,Hawaii,Big West,,20,11,59.5,56.3,3.23,,-1.53,,-4.68,6.37,1.70,90.77,88.29,2.48
