"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a72965838","2695431-105097-21","2025-11-12T19:04:13Z","41098","2695431","23","21","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-2481512-2118064","3","3","1432","1581","06:08","03:39","149","40","40","42","29","29","35","2","6","-4","0","1","0","1","0","0","2","2","0","0","2","2","1","2","4","0","2","2","2","0","2","0","1","0","0","02:29","3","0","0","","1","2.73","4","3.365","0.7326","1.5","-0.7674","0","0.18","0.4","0.16","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965bb1","2695431-105097-22","2025-11-12T19:04:13Z","41098","2695431","24","22","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2481512","3","3","1581","1663","03:39","02:17","82","42","42","44","35","35","37","2","2","0","1","4","1","4","0","0","0","0","1","0","0","0","2","1","1","1","1","0","0","0","1","0","0","0","0","01:22","2","0","0.25","","","0.79","1","0.895","2.5316","2","0.5316","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964a05","2695431-105097-23","2025-11-12T19:04:13Z","41098","2695431","25","23","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2118064","3","3","1663","1720","02:17","01:20","57","44","44","46","37","37","37","2","0","2","1","2","1","2","0","0","0","0","1","0","0","2","0","0","2","0","2","0","0","0","0","0","0","1","0","00:57","2","1","0.5","","","2","2","2","1","0","1","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964d1f","2695431-105097-24","2025-11-12T19:04:13Z","41098","2695431","26","24","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2118064","3","3","1720","1800","01:20","00:00","80","46","46","49","37","37","38","3","1","2","1","1","1","1","0","0","1","2","0","1","1","1","0","0","3","0","2","0","1","2","0","1","0","0","1","01:20","1","1","1","","0.5","2.8","3.195","2.9975","1.0714","0.313","0.7584","0","0.8","0.63","0.84","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965706","2695431-105097-25","2025-11-12T19:04:13Z","41098","2695431","27","25","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","4","4","1800","1914","10:00","08:06","114","49","49","52","38","38","42","3","4","-1","1","1","0","0","1","1","0","0","1","0","2","0","0","2","2","2","2","0","0","0","1","1","1","0","0","01:54","0","0","","1","","3","3","3","1","1.3333","-0.3333","0","0.33","0.56","0.24","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965391","2695431-105097-26","2025-11-12T19:04:13Z","41098","2695431","28","26","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2481512","4","4","1914","1978","08:06","07:02","64","52","52","54","42","42","44","2","2","0","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","01:04","0","0","1","","","1","2","1.5","2","1","1","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965adc","2695431-105097-27","2025-11-12T19:04:13Z","41098","2695431","29","27","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-2481512-2118064","4","4","1978","2040","07:02","06:00","62","54","54","54","44","44","46","0","2","-2","0","2","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","2","0","01:02","0","2","0","0","","2","1","1.5","0","2","-2","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a729651a3","2695431-105097-28","2025-11-12T19:04:13Z","41098","2695431","30","28","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","4","4","2040","2247","06:00","02:33","207","54","54","61","46","46","50","7","4","3","3","5","2","2","1","3","0","0","1","1","1","0","2","2","4","2","4","0","0","0","0","3","1","0","2","03:27","2","2","1","0.3333","","3.86","4.86","4.36","1.8135","0.823","0.9904","0","0.86","0.93","0.52","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964ddc","2695431-105097-29","2025-11-12T19:04:13Z","41098","2695431","31","29","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","4","4","2247","2322","02:33","01:18","75","61","61","64","50","50","51","3","1","2","1","1","1","1","0","0","1","1","1","0","1","2","0","0","2","0","1","0","1","2","0","0","0","0","1","01:15","2","1","1","","1","2.4","2.0867","2.2433","1.25","0.4792","0.7708","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965b03","2695431-105097-30","2025-11-12T19:04:13Z","41098","2695431","32","30","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-1688590-2118064","4","4","2322","2367.8","01:18","00:32","45.8","64","64","64","51","51","53","0","2","-2","0","1","0","1","0","0","0","2","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","2","0","00:46","0","2","0","","0","1.8","1","1.4","0","2","-2","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965d04","2695431-105097-31","2025-11-12T19:04:13Z","41098","2695431","33","31","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","4","4","2367.8","2400","00:32","00:00","32.2","64","64","64","53","53","57","0","4","-4","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","1","1","0","2","2","1","0","1","0","2","00:32","0","2","","","","1","1.66","1.33","0","2.4096","-2.4096","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
