,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
859,Sidney Love,Texas-(San Antonio) Roadrunners,AAC,68.0,31.98,30.0,86.76,97.87,3.53,1.6,1.94,5.44,2.9,2.54,39.0,11.0,1.3,0.37,7.2,0.767,0.83,84.4
860,Siena Guttadauro,Texas-(San Antonio) Roadrunners,AAC,66.0,15.2,5.0,94.01,101.94,0.21,0.12,0.1,-1.26,0.21,-1.47,1.0,0.0,0.2,0.0,,,,84.4
861,Sienna Dauer,Davidson Wildcats,A10,71.0,10.9,31.0,91.68,69.67,0.08,-0.42,0.51,-1.58,-1.58,0.0,12.0,1.0,0.39,0.03,,,,89.1
862,Sierra Carson,Dartmouth Big Green,IVY,68.0,8.01,21.0,105.07,,,,0.01,-1.7,-1.71,0.01,5.0,1.0,0.24,0.05,2.0,1.089,1.24,99.7
863,Simone Sawyer,Pennsylvania Quakers,IVY,71.0,25.85,24.0,92.54,95.19,1.56,0.69,0.87,0.33,1.18,-0.86,35.0,1.0,1.46,0.04,5.2,0.836,0.88,94.1
864,Sitori Tanin,Loyola (Chicago) Ramblers,A10,74.0,23.27,29.0,94.48,84.94,1.01,0.2,0.81,-4.4,-1.48,-2.91,24.0,29.0,0.83,1.0,4.9,0.918,0.97,97.2
865,Skye Belker,Princeton Tigers,IVY,69.0,31.72,28.0,96.78,110.69,3.78,2.93,0.85,3.51,3.39,0.12,13.0,3.0,0.46,0.11,7.0,0.633,0.72,89.3
866,Sofia Kelemeni,San Jose State Spartans,MWC,72.0,23.17,13.0,104.16,92.98,0.4,0.34,0.05,-1.67,-1.0,-0.68,5.0,4.0,0.38,0.31,4.7,0.662,0.59,103.9
867,Sol Castro,San Francisco Dons,WCC,73.0,13.26,4.0,93.37,90.29,0.13,0.06,0.07,-1.28,-0.56,-0.72,1.0,2.0,0.25,0.5,,,,92.6
868,Soleil Barnes,Bradley Braves,MVC,66.0,33.28,31.0,91.22,91.28,2.98,1.39,1.59,0.66,-0.06,0.72,36.0,9.0,1.16,0.29,6.3,0.645,0.69,91.3
869,Sophia Vital,Rhode Island Rams,A10,65.0,24.64,33.0,84.72,94.52,2.93,1.11,1.82,2.94,0.84,2.09,53.0,6.0,1.61,0.18,7.1,0.826,0.95,87.7
870,Sophie Phillips,Rhode Island Rams,A10,72.0,29.9,33.0,92.53,97.03,2.77,1.38,1.39,3.14,0.97,2.17,29.0,22.0,0.88,0.67,7.2,0.754,0.81,87.7
871,Sophie Sene,Utah State Aggies,MWC,75.0,19.08,27.0,103.2,81.2,0.09,-0.05,0.14,1.47,0.98,0.5,15.0,11.0,0.56,0.41,2.4,0.688,0.76,105.4
872,Stefanie Ingram,Florida Atlantic Owls,AAC,68.0,31.02,32.0,94.45,91.51,2.22,1.02,1.2,-0.95,0.12,-1.07,42.0,1.0,1.31,0.03,9.3,0.836,0.94,
873,Stefanie Kulesza,Massachusetts Minutewomen,A10,71.0,30.73,32.0,81.01,97.61,4.13,1.53,2.59,2.5,0.7,1.79,66.0,12.0,2.06,0.38,6.9,0.715,0.79,86.5
874,Stella Sgro,San Jose State Spartans,MWC,71.0,5.44,17.0,103.79,79.5,-0.01,-0.03,0.02,-0.04,-0.6,0.56,4.0,1.0,0.24,0.06,,,,103.9
875,Stella Szabo,Pacific Tigers,WCC,71.0,8.54,21.0,101.46,68.65,-0.08,-0.16,0.08,-1.35,-1.58,0.23,2.0,0.0,0.1,0.0,1.9,0.854,0.84,92.7
876,Steph Ouderkirk,Richmond Spiders,A10,73.0,6.68,29.0,92.76,99.86,0.56,0.29,0.27,0.99,1.62,-0.63,5.0,2.0,0.17,0.07,,,,88.4
877,Stephanie Gutierrez-Rodriguez,Davidson Wildcats,A10,66.0,1.74,2.0,98.97,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,89.1
878,Stina Almqvist,Pennsylvania Quakers,IVY,72.0,36.43,26.0,95.03,101.67,3.78,2.7,1.09,0.04,0.63,-0.59,14.0,17.0,0.54,0.65,9.6,0.822,0.85,94.1
879,Summer Parker-Hall,Cornell Big Red,IVY,71.0,24.95,24.0,90.5,110.64,3.21,2.24,0.97,0.5,-0.65,1.15,23.0,18.0,0.96,0.75,,,,95.4
880,Summer ParkerHall,Cornell Big Red,IVY,,,,,,,,,,,,,,,,6.2,0.764,0.79,95.4
881,Susana Yepes,Oregon State Beavers,WCC,72.0,6.44,24.0,99.69,,,,0.1,0.57,-0.27,0.83,0.0,1.0,0.0,0.04,1.5,0.73,0.8,93.7
882,Susannah Rafiu,Columbia Lions,IVY,,,,,,,,,,,,,,,,5.8,0.877,0.94,88.1
883,Susie Rafiu,Columbia Lions,IVY,73.0,25.19,31.0,89.72,97.8,2.41,1.08,1.33,3.5,1.62,1.88,31.0,13.0,1.0,0.42,,,,88.1
884,Sussy Ngulefac,Rice Owls,AAC,76.0,23.75,34.0,88.9,107.92,3.21,1.77,1.45,0.39,-0.48,0.87,17.0,40.0,0.5,1.18,4.8,0.748,0.8,89.9
885,Sydney Mains,Florida Atlantic Owls,AAC,70.0,9.22,3.0,97.73,,,,0.02,-0.34,-0.32,-0.02,0.0,0.0,0.0,0.0,4.0,0.25,0.27,
886,Sydney Roundtree,Air Force Falcons,MWC,72.0,3.48,7.0,92.11,,,,0.04,,,,1.0,2.0,0.14,0.29,,,,93.9
887,Sydney Ward,Pacific Tigers,WCC,72.0,28.68,33.0,90.56,85.17,1.7,0.18,1.52,-0.5,-0.9,0.4,45.0,37.0,1.36,1.12,6.6,0.814,0.92,92.7
888,Sydni Summers,San Jose State Spartans,MWC,65.0,28.84,30.0,107.81,92.86,0.8,0.98,-0.18,-0.95,1.49,-2.44,15.0,0.0,0.5,0.0,5.9,0.862,0.91,103.9
889,Synia Johnson,East Carolina Pirates,AAC,69.0,22.44,24.0,87.02,86.17,1.24,0.17,1.07,4.08,-0.06,4.14,35.0,2.0,1.46,0.08,4.1,0.551,0.61,
890,Ta'Viyanna Habib,George Mason Patriots,A10,71.0,23.66,32.0,87.44,111.71,3.07,1.59,1.48,4.71,3.58,1.14,35.0,10.0,1.09,0.31,5.7,0.814,0.91,85.8
891,Ta'Ziah Jenks,Florida Atlantic Owls,AAC,72.0,25.16,32.0,91.59,84.64,1.42,0.21,1.22,-3.22,-0.24,-2.98,40.0,10.0,1.25,0.31,4.5,0.832,0.9,
892,Tabitha Amanze,Princeton Tigers,IVY,76.0,12.39,28.0,77.59,91.26,1.55,0.51,1.03,0.39,-0.48,0.87,20.0,22.0,0.71,0.79,2.8,0.62,0.73,89.3
893,Taedyn Gray,Drake Bulldogs,MVC,74.0,6.51,29.0,86.49,76.0,0.26,-0.13,0.39,-0.65,0.45,-1.1,11.0,16.0,0.38,0.55,,,,97.1
894,Tahira Muhammad,Dartmouth Big Green,IVY,68.0,9.26,23.0,100.37,71.29,-0.09,-0.21,0.12,0.81,-0.05,0.86,6.0,2.0,0.26,0.09,2.9,0.803,0.9,99.7
895,Taija Sta. Maria,Fresno State Bulldogs,MWC,66.0,25.93,14.0,101.41,87.69,0.33,0.16,0.17,0.71,-0.57,1.28,12.0,2.0,0.86,0.14,6.0,0.533,0.64,99.8
896,Taliyah Logwood,Utah State Aggies,MWC,69.0,17.41,23.0,97.3,92.82,1.02,0.66,0.36,-1.2,-1.6,0.4,37.0,8.0,1.61,0.35,3.4,0.924,1.05,105.4
897,Taliyah Wyche,East Carolina Pirates,AAC,75.0,17.61,17.0,84.46,88.48,0.85,0.17,0.68,1.94,-0.53,2.47,16.0,15.0,0.94,0.88,3.1,0.642,0.67,
898,Talya Brugler,Saint Joseph's Hawks,A10,73.0,32.94,27.0,91.01,116.39,4.6,3.21,1.39,2.96,2.81,0.15,21.0,10.0,0.78,0.37,7.0,0.769,0.84,88.0
899,Tamar voor de Poort,St. Bonaventure Bonnies,A10,72.0,6.69,23.0,111.04,,,,-0.08,-1.0,0.36,-1.35,0.0,1.0,0.0,0.04,,,,103.7
