Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country,Composite Score
Rochelle Fourie,Post-Up Big,603.0,2018,5.0,0.926,Big West,CSUN,22-23,2.0,New Zealand,0.167
Christina Katsamouri,-,600.0,2018,2.0,0.7,MAAC,Manhattan,22-23,1.5,Greece,0.165
Anna Maria Prifti,Stretch Big,600.0,2021,4.0,0.429,A10,Saint Louis,21-22,0.6,Greece,0.155
Polyxeni (Zenia) Palaska,Post-Up Big,602.0,2023,5.0,0.681,American East,Vermont,23-24,0.0,Greece,0.155
Lamprini Polymeni,Playmaking Wing,509.0,2021,10.0,0.548,Big Sky,Montana,21-22,0.4,Greece,0.148
Theoni Tsami,Rim Finishing Big,601.0,2023,5.0,0.56,Big West,UC Davis,24-25,0.0,Greece,0.135
Ioanna Stefanaki,Playmaking Wing,509.0,2023,1.0,0.28,Big Sky,Idaho St.,23-24,0.0,Greece,0.135
Clara Rosini,-,510.0,2019,2.0,0.484,Southland,McNeese,22-23,1.0,Italy,0.133
Paula Haw,-,605.0,2022,2.0,0.867,Big Sky,Sacramento State,24-25,1.0,Germany,0.118
Karla Vres,-,603.0,2017,1.0,0.553,BIG 10,Ohio State,23-24,1.0,Croatia,0.118
Jyordanna Davey,Stretch Big,600.0,2022,3.0,0.593,D2,Dodge City (D2),23-24,2.0,New Zealand,0.107
Mikela Cooper,Stretch Big,601.0,2022,5.0,0.692,D2,Bentley (D2),24-25,2.0,Greece,0.107
